epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.242,1.8608,4.24845,1.87152,0.03873,0.8,0.16827,0.08095,2.04812,4.94007,2.08367,0.000272,0.000272,0.000272
2,249.705,1.72396,3.73199,1.70441,0.56982,0.27972,0.31658,0.13221,1.58884,4.12021,1.5333,0.000538783,0.000538783,0.000538783
3,361.016,1.68936,3.45363,1.67755,0.70826,0.08,0.12611,0.05958,1.66397,3.58941,1.6081,0.000794571,0.000794571,0.000794571
4,478.184,1.68518,3.48667,1.64382,0.74011,0.2,0.154,0.07886,1.48631,4.25045,1.57063,0.00078352,0.00078352,0.00078352
5,599.293,1.63598,3.41887,1.63968,0.52036,0.48,0.43208,0.21044,1.68866,3.03439,1.64732,0.000767026,0.000767026,0.000767026
6,719.216,1.64847,3.11835,1.60958,0.54832,0.46026,0.26987,0.14272,1.54249,3.25128,1.52755,0.000750533,0.000750533,0.000750533
7,839.604,1.65814,3.14392,1.65158,0.57148,0.18,0.23039,0.08432,1.46517,4.29476,1.61701,0.00073404,0.00073404,0.00073404
8,937.53,1.70627,3.09022,1.60787,0.24154,0.49525,0.42322,0.16317,1.79632,3.35202,1.86797,0.000717546,0.000717546,0.000717546
9,1035.01,1.71089,3.03935,1.61909,0.18177,0.62,0.44065,0.11358,1.88447,3.19392,1.93555,0.000701053,0.000701053,0.000701053
10,1135.55,1.6049,2.98087,1.54338,0.22299,0.5,0.36172,0.17721,1.76987,3.07739,1.61109,0.000684559,0.000684559,0.000684559
11,1232.71,1.57256,2.85447,1.55963,0.3709,0.52,0.36941,0.17235,1.88729,3.43872,1.67139,0.000668066,0.000668066,0.000668066
12,1329.78,1.59342,2.85514,1.56343,0.70394,0.48,0.53374,0.2934,1.79284,2.92197,1.6169,0.000651573,0.000651573,0.000651573
13,1433.65,1.62385,2.91822,1.5903,0.63816,0.58,0.54601,0.29372,2.00248,2.97948,1.94062,0.000635079,0.000635079,0.000635079
14,1530.43,1.53319,2.7148,1.56729,0.24855,0.57149,0.51653,0.28054,1.85784,2.9645,1.87064,0.000618586,0.000618586,0.000618586
15,1627.83,1.59051,2.74117,1.58435,0.24465,0.57131,0.36565,0.18237,1.85142,2.88456,1.67893,0.000602092,0.000602092,0.000602092
16,1724.42,1.58627,2.65884,1.54492,0.29207,0.62,0.49368,0.23657,1.94398,2.67735,1.84847,0.000585599,0.000585599,0.000585599
17,1822.22,1.54925,2.58405,1.53006,0.67121,0.52826,0.66371,0.27576,1.95809,2.76294,1.8846,0.000569106,0.000569106,0.000569106
18,1933.74,1.47213,2.55543,1.46384,0.66928,0.676,0.76854,0.36965,1.97187,2.89235,1.77536,0.000552612,0.000552612,0.000552612
19,2042.7,1.52176,2.52983,1.49813,0.52515,0.63861,0.64017,0.31268,1.91327,3.02427,1.64739,0.000536119,0.000536119,0.000536119
